id,movie_name,directors,actors,movie_rating,genre,duration
4072,Lupin the IIIrd: Jigen Daisuke no Bohyo,Takeshi Koike,"Akio Hirose, Kiyoshi Kobayashi, Kan'ichi Kurita",7.3,"Action, Crime",51 min 
4073,Lupin the IIIrd: Jigen Daisuke no Bohyo,Takeshi Koike,"Akio Hirose, Kiyoshi Kobayashi, Kan'ichi Kurita",7.3,"Action, Crime",51 min 
4074,Man on High Heels,Jin Jang,"Seung-won Cha, Jeong-se Oh, Esom",6.5,"Action, Comedy",125 min 
4075,Lai Bhaari,Nishikant Kamat,"Radhika Apte, Tanvi Azmi, Genelia D'Souza",6.5,"Action, Drama",157 min 
4076,Sming,Pan Visitsak,"Thanyaboon Boonprasert, Geoffrey Giuliano, Naerunchara Lertparsert",5.6,"Action, Drama",105 min 
4077,Warrior Princess,Shuudertsetseg Baatarsuren,"Batmend Baast, Otgonjargal Davaasuren, Myagmarnaran Gombo",4.6,"Action, War",95 min 
4078,Slit Mouth Woman in LA,Akira Hirose,"Megumi Ageishi, Mennell Alkhawaja, Courtney Bandeko",5.8,"Action, Horror, Mystery",104 min 
4079,Meagamann,Magizh Thirumeni,,6.7,"Action, Drama",139 min 
4080,Meagamann,Magizh Thirumeni,,6.7,"Action, Drama",139 min 
4081,Thirudan Police,Caarthick Raju,"Dinesh, Iyshwarya Rajesh, Bala Saravanan",5.8,"Action, Comedy, Drama",136 min 
4082,The Janitor,Michael Tuviera,"Dennis Trillo, Richard Gomez, Ricky Davao",5.4,"Action, Crime, Drama",115 min 
4083,Spark,V.K. Singh,"Rati Agnihotri, Mansha Bahl, Rajneesh Duggal",6.0,Action,134 min 
4084,Talk Back and You're Dead,Andoy Ranay,"James Reid, Nadine Lustre, Joseph Marco",6.1,"Action, Comedy, Romance",120 min 
4085,Ardennes Fury,Joseph J. Lawson,"Tom Stedham, Bill Voorhees, Tino Struckmann",2.2,"Action, War",87 min 
4086,Age of Ice,Emile Edwin Smith,"Barton Bund, Bailey Spry, Jules Hartley",1.8,"Action, Adventure, Sci-Fi",85 min 
4087,Sigaram Thodu,Gaurav Narayanan,"Vikram Prabhu, Satyaraj, Monal Gajjar",6.3,"Action, Thriller",147 min 
4088,Abang Long Fadil,Syafiq Yusof,,6.6,Action,107 min 
4089,Borbaad,Raj Chakraborty,"Mainak Banerjee, Rittika Sen, Bonny Sengupta",5.5,"Action, Drama, Romance",140 min 
4090,Chuzhaya voyna,Aleksandr Chernyaev,"Valeriy Afanasev, Egor Antonov, Vladimir Dubrovskiy",3.7,"Action, Drama, War",100 min 
4091,Raiders of the Lost Shark,Scott Patrick,"Dan Desmarais, Peter Whittaker, Kitty Kamieniecki",1.8,"Action, Horror, Sci-Fi",71 min 
4092,Beware of Dags,Shakti Soundar Rajan,"Idoh, Sibiraj, Arundhathi",6.1,"Action, Comedy, Thriller",126 min 
4093,Voice of the Vespers,Matthew Van Howe,"Petro Andryvyz, Kyle Dal Santo, Kate Froehlich",7.7,"Action, Fantasy, Sci-Fi",98 min 
4094,Xiu chun dao,Yang Lu,"Chen Chang, Shih-Chieh Chin, Zhu Dan",6.6,Action,111 min 
4095,Lingaa,K.S. Ravikumar,"Rajinikanth, Anushka Shetty, Sonakshi Sinha",6.2,"Action, Comedy, Drama",174 min 
4096,Poojai,Hari,"Vishal, Shruti K. Haasan, Satyaraj",5.1,"Action, Drama",154 min 
4097,Vanmam,Jai Krishna,"Vijay Sethupathi, Krishna Sekhar, Sunaina",5.4,"Action, Drama",156 min 
4098,Hostile,Nathan Ambrosioni,"Anatolia Allieis, Nathan Ambrosioni, Vanessa Azzopardi",5.5,"Action, Drama, Fantasy",89 min 
4099,Secret Wars,Patryk Vega,"Kamilla Baar, Olga Boladz, Tomasz Budyta",6.4,"Action, Crime, Drama",115 min 
4100,Jaihind 2,Arjun,"Arjun, Surveen Chawla, Simran Kapoor",6.8,Action,155 min 
4101,Vengeance of an Assassin,Panna Rittikrai,"Nantawooti Boonrapsap, Dan Chupong, Kessarin Ektawatkul",5.5,Action,90 min 
4102,For the Emperor,Sang Jun Park,"Jae-young Han, Jae-won Lee, Min-ki Lee",5.7,"Action, Crime, Thriller",104 min 
4103,Big Match,Ho Choi,"Jung-jae Lee, Ha-kyun Shin, Sung-min Lee",6.2,"Action, Comedy, Thriller",112 min 
4104,Brother of Bommali,Chinni Krishna,,5.9,"Action, Drama",160 min 
4105,The Golden Cane Warrior,Ifa Isfansyah,"Tara Basro, Christine Hakim, Eva Celia Latjuba",7.2,Action,111 min 
4106,The Master,Ke Zhou,"Xiangguo Chang, Mai Jintong, Cheng Ni",4.8,Action,86 min 
4107,The Master,Ke Zhou,"Xiangguo Chang, Mai Jintong, Cheng Ni",4.8,Action,86 min 
4108,Kung Pow Charlie,Corey B. Stevens,"Paul Ohlman, Tony Cacaro, Tara Kiely",5.8,"Action, Comedy",115 min 
4109,Magnum Muslim .357,Francis Posadas,"Clarence Delgado, Jorge Estregan, Khalid Gunting",4.7,Action,140 min 
4110,Mr and Mrs Ramachari,Santhosh Ananddram,,7.2,"Action, Drama, Romance",156 min 
4111,The Con Artists,Hong-seon Kim,"Woo-bin Kim, Yeong-cheol Kim, Chang-Seok Ko",6.4,"Action, Crime, Drama",117 min 
4112,The Lies We Tell But the Secrets We Keep Part 3,Milon V. Parker,"Anita Nicole Brown, Milon V. Parker",7.5,"Action, Drama, Romance",120 min 
4113,Tomb Robber,Dao Yu,,4.4,"Action, Adventure, Mystery",95 min 
4114,Baaz,Simerjit Singh,"Mukul Dev, Babbu Mann, Yograj Singh",6.8,Action,142 min 
4115,The Youth,Seong-su Ju,"Hae-In Jung, Dong-hae Lee, Ji-hyun Nam",5.6,"Action, Drama",125 min 
4116,Policewala Gunda 2,R.T. Neason,"Vijay, Kajal Agarwal, Mohanlal",6.9,Action,156 min 
4117,Prisoners of the Sun,Roger Christian,"John Rhys-Davies, David Charvet, Carmen Chaplin",3.6,"Action, Adventure, Horror",85 min 
4118,R.I.P.D.,Robert Schwentke,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker",5.6,"Action, Comedy, Sci-Fi",96 min 
4119,The Power of Few,Leone Marucci,"Christopher Walken, Juvenile, Christian Slater",5.3,"Action, Crime, Drama",96 min 
4120,Snitch,Ric Roman Waugh,"Dwayne Johnson, Susan Sarandon, Jon Bernthal",6.5,"Action, Drama, Thriller",112 min 
4121,Legend of the Red Reaper,Tara Cardinal,"Tara Cardinal, David Mackey, Ray Eddy",2.2,"Action, Adventure, Fantasy",99 min 
4122,Bare Knuckles,Eric Etebari,"Jeanette Roxborough, Martin Kove, Louis Mandylor",4.2,"Action, Drama",90 min 
4123,Game of Assassins,Matt Eskandari,"Bai Ling, Warren Kole, Dustin Nguyen",6.6,"Action, Adventure, Horror",80 min 
4124,Lone Survivor,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch",7.6,"Action, Biography, Drama",121 min 
4125,The Colony,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton",5.3,"Action, Horror, Sci-Fi",95 min 
4126,Blood Shot,Dietrich Johnston,"Brennan Elliott, Michael Bailey Smith, Brad Dourif",3.1,"Action, Comedy, Horror",96 min 
4127,The Lone Ranger,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner",6.5,"Action, Adventure, Western",149 min 
4128,The World's End,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman",7.0,"Action, Comedy, Sci-Fi",109 min 
4129,Oldboy,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson",5.8,"Action, Drama, Mystery",104 min 
4130,Gangster Squad,Ruben Fleischer,"Sean Penn, Ryan Gosling, Emma Stone",6.8,"Action, Crime, Drama",113 min 
4131,47 Ronin,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki",6.3,"Action, Adventure, Drama",128 min 
4132,Raptor Ranch,Dan Bishop,"Jana Mashonee, Lorenzo Lamas, Cole Brown",3.0,"Action, Adventure, Horror",90 min 
4133,W.M.D.,Richard Halpern,"Tom Kiesche, John Posey, Weetus Cren",3.2,"Action, Thriller, War",90 min 
4134,Race 2,Abbas Alibhai Burmawalla,"Saif Ali Khan, Anil Kapoor, John Abraham",5.3,"Action, Crime, Drama",150 min 
4135,Star Trek Into Darkness,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana",7.8,"Action, Adventure, Sci-Fi",132 min 
4136,Exit to Hell,Robert Conway,"Kane Hodder, Tiffany Shepis, Rena Riffel",3.4,"Action, Horror, Thriller",81 min 
4137,Riddick,David Twohy,"Vin Diesel, Karl Urban, Katee Sackhoff",6.4,"Action, Sci-Fi, Thriller",119 min 
4138,The Human Race,Paul Hough,"Paul McCarthy-Boyington, Eddie McGee, Trista Robinson",5.4,"Action, Horror, Sci-Fi",87 min 
4139,Hansel & Gretel: Witch Hunters,Tommy Wirkola,"Jeremy Renner, Gemma Arterton, Peter Stormare",6.1,"Action, Fantasy, Horror",88 min 
4140,The Wolverine,James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto",6.7,"Action, Adventure, Sci-Fi",126 min 
4141,The Grandmaster,Kar Wai Wong,"Tony Chiu Wai Leung, Ziyi Zhang, Jin Zhang",6.5,"Action, Biography, Drama",130 min 
4142,Killing Season,Mark Steven Johnson,"Robert De Niro, John Travolta, Milo Ventimiglia",5.4,"Action, Drama, Thriller",91 min 
4143,Germ,J.T. Boone,"Marguerite Sundberg, Michael Flores, Mark Chiappone",3.6,"Action, Drama, Horror",80 min 
4144,Assassins Run,Robert Crombie,"Christian Slater, Sofya Skya, Cole Hauser",4.4,"Action, Crime, Thriller",88 min 
4145,Walking with the Enemy,Mark Schmidt,"Jonas Armstrong, Ben Kingsley, Hannah Tointon",5.4,"Action, Drama, History",124 min 
4146,Line of Duty,Bryan Ramirez,"Jeremy Ray Valdez, Walter Perez, Fernanda Romero",5.2,"Action, Crime, Thriller",100 min 
4147,The Mortal Instruments: City of Bones,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan",6.0,"Action, Adventure, Fantasy",130 min 
4148,The Last Stand,Jee-woon Kim,"Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville",6.4,"Action, Crime, Thriller",107 min 
4149,Born of War,Vicky Jewson,"James Frain, Sofia Black-D'Elia, Lydia Leonard",4.3,"Action, Drama, Thriller",109 min 
4150,Barracuda,Christy Oldham,"Christy Oldham, Pippa Hinchley, Kaden Graves",5.5,"Action, Adventure",94 min 
4151,G.I. Joe: Retaliation,Jon M. Chu,"Dwayne Johnson, Channing Tatum, Adrianne Palicki",5.8,"Action, Adventure, Sci-Fi",110 min 
4152,Once Upon a Time in Brooklyn,Paul Borghese,"Armand Assante, William DeMeo, Cathy Moriarty",3.8,"Action, Crime",116 min 
4153,A Good Day to Die Hard,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch",5.3,"Action, Crime, Thriller",98 min 
4154,Lauf Junge lauf,Pepe Danquart,"Andrzej Tkacz, Kamil Tkacz, Elisabeth Duda",6.5,"Action, Drama, War",112 min 
4155,Blue Collar Boys,Mark Nistico,"Gabe Fazio, Bruce Kirkpatrick, Ed Setrakian",6.4,Action,93 min 
4156,After Effect,David McElroy,"Kirk Anderson, Daniel Baldwin, Michael Chinn",3.9,"Action, Horror, Thriller",95 min 
4157,Deep Dark Canyon,Abe Levy,"Ted Levine, Spencer Treat Clark, Nick Eversman",4.9,"Action, Drama, Thriller",90 min 
4158,The Numbers Station,Kasper Barfoed,"John Cusack, Malin Akerman, Liam Cunningham",5.6,"Action, Thriller",89 min 
4159,Birdemic 2: The Resurrection,James Nguyen,"Alan Bagh, Whitney Moore, Thomas Favaloro",1.8,"Action, Comedy, Horror",90 min 
4160,Welcome to the Punch,Eran Creevy,"James McAvoy, Mark Strong, Andrea Riseborough",6.1,"Action, Crime, Thriller",99 min 
4161,Mid Life Gangster,Ted Grouya,"Evan James, Amber Noelle, Ricky Harris",5.8,"Action, Crime, Drama",95 min 
4162,We're the Millers,Rawson Marshall Thurber,"Jason Sudeikis, Jennifer Aniston, Emma Roberts",7.1,"Action, Adventure, Comedy",110 min 
4163,Ender's Game,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld",6.7,"Action, Sci-Fi",114 min 
4164,Alien Rising,Dana Schroeder,"Lance Henriksen, Amy Hathaway, John Savage",3.2,"Action, Sci-Fi, Thriller",93 min 
4165,Pawn Shop Chronicles,Wayne Kramer,"Paul Walker, Norman Reedus, Elijah Wood",5.9,"Action, Comedy, Crime",112 min 
4166,Epitaph: Bread and Salt,Nathyn Masters,"Nathyn Masters, Marissa Joy, Leena Kurishingal",4.2,"Action, Horror, Sci-Fi",90 min 
4167,Vikingdom,Yusry Abd Halim,"Dominic Purcell, Natassia Malthe, Craig Fairbrass",3.4,"Action, Adventure, Fantasy",114 min 
4168,Remnants,Tim Szczesniak,"Tom Sizemore, Wilbur Fitzgerald, Alex Van",3.9,"Action, Drama, Sci-Fi",92 min 
4169,After Earth,M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith",4.9,"Action, Adventure, Sci-Fi",100 min 
4170,RED 2,Dean Parisot,"Bruce Willis, Helen Mirren, John Malkovich",6.7,"Action, Comedy, Crime",116 min 
4171,Waar,Bilal Lashari,"Shaan Shahid, Hamza Abbasi, Shamoon Abbasi",8.6,"Action, Drama, Thriller",130 min 
4172,House of Blood,John Rusnak,"Peter Hooten, Brian Kahrs, Mike Kradlak",6.0,"Action, Horror, Thriller",88 min 
4173,Big Ass Spider!,Mike Mendez,"Greg Grunberg, Lin Shaye, Ruben Pla",5.3,"Action, Comedy, Sci-Fi",80 min 
4174,Dhoom:3,Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Abhishek Bachchan",5.5,"Action, Crime, Thriller",172 min 
4175,Free Ride,Shana Betz,"Anna Paquin, Liana Liberato, Ava Acres",5.6,"Action, Drama, Thriller",86 min 
4176,Last Passenger,Omid Nooshin,"Dougray Scott, Kara Tointon, Iddo Goldberg",5.6,"Action, Mystery, Thriller",97 min 
4177,Hatchet III,BJ McDonnell,"Danielle Harris, Kane Hodder, Zach Galligan",5.6,"Action, Comedy, Horror",81 min 
4178,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha",4.9,"Action, Crime, Drama",160 min 
4179,Redemption,Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure",6.2,"Action, Crime, Drama",100 min 
4180,Infected,Andrew Gilbert,"Luke Hobson, Nicky Paul Barton, Roger Fowler",3.7,"Action, Horror, Sci-Fi",116 min 
4181,Parker,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis",6.2,"Action, Crime, Thriller",118 min 
4182,Fast & Furious 6,Justin Lin,"Vin Diesel, Paul Walker, Dwayne Johnson",7.2,"Action, Crime, Thriller",130 min 
4183,Vehicle 19,Mukunda Michael Dewil,"Paul Walker, Naima McLean, Gys de Villiers",4.9,"Action, Thriller",82 min 
4184,Open Road,Marcio Garcia,"Camilla Belle, Andy Garcia, Colin Egglesfield",5.5,"Action, Drama, Thriller",85 min 
4185,Frankenstein's Army,Richard Raaphorst,"Robert Gwilym, Hon Ping Tang, Alexander Mercury",5.3,"Action, Horror, Sci-Fi",84 min 
4186,Warrior King 2,Prachya Pinkaew,"Tony Jaa, RZA, Petchtai Wongkamlao",5.3,Action,104 min 
4187,Greencard Warriors,Miriam Kruishoop,"Manny Perez, Angel Amaral, Vivica A. Fox",4.5,"Action, Drama, Romance",90 min 
4188,Martial Science,Frederick Cipoletti,"Alejandro Salomon, John Henry Whitaker, Casey O'Keefe",6.8,"Action, Comedy",88 min 
4189,Stalingrad,Fedor Bondarchuk,"Mariya Smolnikova, Yanina Studilina, Pyotr Fyodorov",5.6,"Action, Drama, War",131 min 
4190,Pain & Gain,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie",6.5,"Action, Comedy, Crime",129 min 
4191,The Young and Prodigious T.S. Spivet,Jean-Pierre Jeunet,"Kyle Catlett, Helena Bonham Carter, Judy Davis",7.1,"Action, Adventure, Drama",105 min 
4192,Machete Kills,Robert Rodriguez,"Danny Trejo, Alexa PenaVega, Mel Gibson",5.6,"Action, Crime, Thriller",107 min 
4193,Wolf Creek 2,Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn",6.1,"Action, Horror, Thriller",106 min 
4194,Concrete Blondes,Nicholas Kalikow,"Carly Pope, Samaire Armstrong, Diora Baird",4.7,"Action, Comedy, Crime",92 min 
4195,Man of Tai Chi,Keanu Reeves,"Tiger Hu Chen, Keanu Reeves, Karen Mok",6.1,"Action, Drama",105 min 
4196,All Is Lost,J.C. Chandor,Robert Redford,6.9,"Action, Adventure, Drama",106 min 
4197,Real Playing Game,Tino Navarro,"Cian Barry, Alix Wilton Regan, Nik Xhelilaj",4.3,"Action, Adventure, Sci-Fi",103 min 
4198,Counterpunch,Kenneth Castillo,"Alvaro Orlando, Danny Trejo, Steven Bauer",5.0,"Action, Biography, Drama",97 min 
4199,Gangs of Tooting Broadway,Devanand Shanmugam,"Terence Anderson, Marcus Boyea, Oliver Cotton",3.5,"Action, Crime, Drama",86 min 
4200,Shortcut Romeo,Susi Ganesan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta",2.7,"Action, Crime, Romance",146 min 
4201,Blaze You Out,Mateo Frazier,"Veronica Diaz-Carranza, Melissa Cordero, Q'orianka Kilcher",3.2,"Action, Drama, Thriller",98 min 
4202,Apocalypse Z,Luca Boni,"Christian Boeving, Mike Mitchell, Tara Cardinal",2.3,"Action, Horror, Sci-Fi",90 min 
4203,Java Heat,Conor Allyn,"Kellan Lutz, Verdi Solaiman, Mickey Rourke",5.2,"Action, Crime, Drama",104 min 
4204,Dead Man Down,Niels Arden Oplev,"Colin Farrell, Noomi Rapace, Dominic Cooper",6.5,"Action, Crime, Drama",118 min 
4205,The Patrol,Tom Petch,"Owain Arthur, Nicholas Beveney, Daniel Fraser",4.2,"Action, Drama, War",83 min 
4206,A Common Man,Chandran Rutnam,"Ben Kingsley, Ben Cross, Patrick Rutnam",4.7,"Action, Thriller",86 min 
4207,Chennai Express,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Satyaraj",5.9,"Action, Comedy, Romance",141 min 
4208,Harrigan,Vince Woods,"Amy Manson, Ian Whyte, Stephen Tompkinson",4.8,"Action, Crime",97 min 
4209,Special ID,Clarence Yiu-leung Fok,"Donnie Yen, Tian Jing, Andy On",5.5,"Action, Crime, Drama",99 min 
4210,Code Red,Valeri Milev,"Paul Logan, Ralitsa Paskaleva, Georgi Staykov",4.4,"Action, Horror",91 min 
4211,Mikeyboy,Chris Berkenkamp,"Mike Dusi, Robin Charters, Kristen Mallette",8.3,"Action, Adventure, Comedy",90 min 
4212,Gone Dark,Pascal,"Pascal, Leif Gantvoort, Madeleine Wade",3.0,Action,78 min 
4213,Dragonwolf,Raimund Huber,"Kazu Patrick Tang, Johan Kirsten, Macha Polivka",2.7,Action,120 min 
4214,Getaway,Courtney Solomon,"Ethan Hawke, Selena Gomez, Jon Voight",4.4,"Action, Crime, Thriller",90 min 
4215,Zila Ghaziabad,Anand Kumar,"Vivek Oberoi, Sanjay Dutt, Arshad Warsi",3.5,"Action, Crime, Thriller",142 min 
4216,Empire State,Dito Montiel,"Liam Hemsworth, Michael Angarano, Dwayne Johnson",5.2,"Action, Crime, Drama",94 min 
4217,Get Lucky,Sacha Bennett,"Luke Treadaway, Emily Atack, Craig Fairbrass",4.1,Action,86 min 
4218,Alpha Girls,Tony Trov,"Nikki Bell, Julie Chen, Nicole Cinaglia",3.3,"Action, Horror, Sci-Fi",90 min 
4219,Absolute Deception,Brian Trenchard-Smith,"Cuba Gooding Jr., Emmanuelle Vaugier, Evert McQueen",4.1,Action,92 min 
4220,The Dragonphoenix Chronicles: Indomitable,Thanos Kermitsis,"Giannis Rouboulias, Constantina Georganta, Georgia Giannakoudi",6.3,"Action, Adventure, Fantasy",126 min 
4221,Battle Ground,Johan Earl,"Johan Earl, Tim Pocock, Martin Copping",4.8,"Action, Drama, War",95 min 
4222,Welcome to the Jungle,Rob Meltzer,"Jean-Claude Van Damme, Adam Brody, Rob Huebel",5.0,"Action, Adventure, Comedy",95 min 
4223,Hammer of the Gods,Farren Blackburn,"Charlie Bewley, Alexandra Dowling, Clive Standen",4.5,"Action, Adventure, History",99 min 
4224,Vishwaroopam,Kamal Haasan,"Pooja Kumar, Miles Anderson, Kamal Haasan",8.8,"Action, Adventure, Crime",148 min 
4225,Baadshah,Sreenu Vaitla,"Junior N.T.R., Kajal Agarwal, Navdeep",6.5,"Action, Comedy",164 min 
4226,The Underneath,Brian T. Jaynes,"Holt Boggs, Bryan Chatlien, Larry Jack Dotson",2.8,"Action, Sci-Fi, Thriller",88 min 
4227,Battle of the Damned,Christopher Hatton,"Dolph Lundgren, Melanie Zanetti, Matt Doran",4.5,"Action, Adventure, Horror",88 min 
4228,Run,Simone Bartesaghi,"William Moseley, Kelsey Asbille, Edoardo Ballerini",4.6,"Action, Romance, Thriller",90 min 
4229,Ombis: Alien Invasion,Adam R. Steigert,"Jason John Beebe, Robert Bozek, Bill Brown",4.9,"Action, Horror, Sci-Fi",85 min 
4230,Wet and Reckless,Jason Trost,"Scout Taylor-Compton, Lucas Till, Sean Whalen",6.8,"Action, Adventure, Comedy",87 min 
4231,Scarlet Samurai: Incarnation,Tara Cardinal,"Tara Cardinal, Alicen Holden, Christian Boeving",4.7,"Action, Adventure, Fantasy",89 min 
4232,Sparks,Todd Burrows,"Chase Williamson, Ashley Bell, Clancy Brown",6.1,"Action, Thriller",90 min 
4233,Betrayal,Jack Topalian,"Jack Topalian, Eric Roberts, Oleg Taktarov",3.9,"Action, Adventure, Crime",90 min 
4234,SAGA: Curse of the Shadow,John Lyde,"Danielle Chuchran, Richard McWilliams, Paul D. Hunt",4.9,"Action, Adventure, Fantasy",111 min 
4235,Midnight Stallion,William Dear,"Kris Kristofferson, Jodelle Ferland, Chelah Horsdal",4.7,"Action, Drama, Family",97 min 
4236,Dracula: The Dark Prince,Pearry Reginald Teo,"Luke Roberts, Jon Voight, Kelly Wenham",3.7,"Action, Fantasy",100 min 
4237,Eternal Damn Nation,Alan Del Tufo,"Jade Elysan, Alan Del Tufo, Carson Dougherty",4.5,"Action, Horror, Thriller",82 min 
4238,Alien Battlefield,Thomas Dixon,"Clint Glenn Hummel, Maria Aceves, Joshua DesRoches",2.9,"Action, Sci-Fi",87 min 
4239,Shootout at Wadala,Sanjay Gupta,"John Abraham, Kangana Ranaut, Anil Kapoor",5.8,"Action, Crime",155 min 
4240,Evil Feed,Kimani Ray Smith,"Laci J Mailey, Terry Chen, Alain Chanoine",3.9,"Action, Horror",90 min 
4241,Olympus Has Fallen,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman",6.5,"Action, Thriller",119 min 
4242,Rise of the Dinosaurs,Anthony Fankhauser,"Gary Stretch, Corin Nemec, Vernon Wells",2.3,"Action, Horror, Sci-Fi",83 min 
4243,Singam 2,Hari,"Suriya, Anushka Shetty, Hansika Motwani",6.3,"Action, Thriller",166 min 
4244,Afflicted,Derek Lee,"Clif Prowse, Derek Lee, Michael Gill",6.3,"Horror, Mystery, Thriller",85 min 
4245,Dick Figures: The Movie,Zack Keller,"Ed Skudder, Zack Keller, Eric Bauza",6.9,"Animation, Action, Adventure",73 min 
4246,Homefront,Gary Fleder,"Jason Statham, James Franco, Winona Ryder",6.5,"Action, Crime, Drama",100 min 
4247,Breakout,Damian Lee,"Brendan Fraser, Dominic Purcell, Ethan Suplee",4.1,"Action, Thriller",89 min 
4248,A Viking Saga: The Darkest Day,Chris Crow,"Gareth John Bale, Ian Dicks, Richard Elfyn",4.1,"Action, Adventure, Thriller",88 min 
4249,Angels Around Me,Stephen Stix Josey,"Joey Azzi, Antonia Badon, Ryan Bonnick",3.0,Action,93 min 
4250,Supercollider,Jeffery Scott Lando,"Robin Dunne, Amy Bailey, Mia Nordstrom",3.7,"Action, Adventure, Drama",90 min 
4251,Abstraction,Prince Bagdasarian,"Hunter Ives, Korrina Rico, Ken Davitian",7.0,"Action, Adventure, Crime",100 min 
4252,Painkiller,Berenika Maciejewicz,"Dillaran Martin, Ron Pucillo, Tim Taylor",6.8,"Action, Mystery, Thriller",80 min 
4253,The Final Payoff,Alexander Leontaritis,"Greg Terzakis, Yannis Bostantzoglou, Giorgos Giannopoulos",6.5,"Action, Crime, Drama",118 min 
4254,Dragonfyre,Kohl Glass,"Rusty Joiner, Masiela Lusha, Wesley John",3.3,"Action, Adventure, Fantasy",97 min 
4255,White House Down,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal",6.4,"Action, Drama, Thriller",131 min 
4256,Blitzpatrollie,Andrew Wessels,"Joey Yusuf Rasdien, David Kau, David Kibuuka",6.4,"Action, Comedy, Crime",109 min 
4257,Echo Dr.,Patrick Ryan Sims,"Dane Bowman, Claire Gordon-Harper, Johnathan Hurley",3.6,"Action, Drama, Sci-Fi",81 min 
4258,Courageous,Sajid Khan,"Ajay Devgn, Tamannaah Bhatia, Mahesh Manjrekar",1.8,"Action, Comedy",150 min 
4259,Unforgiven,Sang-il Lee,"Ken Watanabe, Yukiyoshi Ozawa, Jun Kunimura",7.1,"Action, Crime, Drama",135 min 
4260,Alien Showdown: The Day the Old West Stood Still,Rene Perez,"Robert Amstler, Nadia Lanfranconi, Anthony Sant'Anselmo",2.0,"Action, Adventure, Horror",80 min 
4261,The Daughter,Jonathan M. Levine,"Marian Sorensen, Kevin McCorkle, Drew Howerton",4.6,"Action, Drama, Thriller",86 min 
4262,The Berlin File,Seung-wan Ryoo,"Jung-woo Ha, Suk-kyu Han, Seung-beom Ryu",6.7,"Action, Drama, Thriller",120 min 
4263,Zanjeer,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt",3.2,"Action, Thriller",137 min 
4264,David,Bejoy Nambiar,"'Chiyaan' Vikram, Neil Nitin Mukesh, Vinay Virmani",6.2,"Action, Crime, Drama",155 min 
4265,Berserk: The Golden Age Arc III - The Advent,Toshiyuki Kubooka,"Jon Avner, JB Blanc, Jamison Boaz",7.9,"Animation, Action, Fantasy",110 min 
4266,Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,"Raj Babbar, Mahie Gill, Mugdha Godse",6.9,"Action, Crime, Drama",142 min 
4267,Hercules: The Brave and the Bold,David A. Malone,"Arlington Lane II, Brayden Patterson, Cali Cravens",5.4,Action,75 min 
4268,Hercules: The Brave and the Bold,David A. Malone,"Arlington Lane II, Brayden Patterson, Cali Cravens",5.4,Action,75 min 
4269,Robin Hood,Martin Schreier,"Ken Duken, Dagny Dewath, Matthias Koeberlin",6.4,"Action, Drama",92 min 
4270,Dead in 5 Heartbeats,Jeff Santo,"Jeff Black, David Della Rocco, Robert Chico Mora",6.5,"Action, Adventure, Crime",111 min 
4271,Assault on Wall Street,Uwe Boll,"Dominic Purcell, Erin Karpluk, Edward Furlong",6.1,"Action, Drama, Thriller",99 min 
4272,Legendary,Eric Styles,"Scott Adkins, Dolph Lundgren, Yi Huang",3.8,"Action, Adventure",92 min 
4273,R... Rajkumar,Prabhudheva,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood",5.1,"Action, Comedy, Romance",146 min 
4274,Re-Entry: Grey Zone,Ray Jay,"Kate Leinster, Udana Fonseka, Brenden Carson",6.4,"Action, Sci-Fi, Thriller",100 min 
4275,Bounty Killer,Henry Saine,"Matthew Marsden, Kristanna Loken, Christian Pitre",5.4,"Action, Sci-Fi, Thriller",92 min 
