"genre","year","actors","movie_name","directors","id","duration","cluster_id"
"Comedy",2015.0,"Graham Phillips,Zack Pearlman,Ashley Greene,Kate Walsh,Gina Gershon,Mary Birdsong,Bobby Moynihan,Method Man,Jim Gaffigan,John DeLuca,Jackson Nicoll,Katie Cockrell,Kate McKinnon,Will Forte","Staten Island Summer","Rhys Thomas",488,"108 minutes",488
"Adventure, Comedy",2015.0,"Ed Helms,Leslie Mann,Chris Hemsworth,Christina Applegate,Chevy Chase,Charlie Day,Elizabeth Gillies,Beverly D'Angelo,Keegan Michael Key,Regina Hall,Ron Livingston,Norman Reedus,Nick Kroll,Tim Heidecker,Kaitlin Olson,Michael Peña,Colin Hanks","Vacation","John Francis Daley,Jonathan M. Goldstein",489,"99 minutes",489
"Documentary",2015.0,"Chris Farley,David Spade,Pat Finn,Bo Derek,Dan Aykroyd,Bob Saget","I Am Chris Farley","Brent Hodge,Derik Murray",490,"",490
"Documentary",2015.0,"Jason Bateman","A LEGO Brickumentary","Kief Davidson,Daniel Junge",491,"93 minutes",491
"",2015.0,"Julio Andrade","Paulo Coelho's Best Story","Daniel Augusto",492,"112 minutes",492
"Documentary, History",2015.0,"Kelsey Grammer,John Lithgow,Gore Vidal,Dick Cavett,Christopher Hitchens,Noam Chomsky","Best of Enemies","Robert Gordon,Morgan Neville",493,"87 minutes",493
"Documentary",2015.0,"Marlon Brando","Listen to Me Marlon","Stevan Riley",494,"95 minutes",494
"Action, Adventure, Thriller",2015.0,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Paula Patton,Ving Rhames,Alec Baldwin,Sean Harris,America Olivo,Simon McBurney","Mission: Impossible - Rogue Nation","Christopher McQuarrie",495,"131 minutes",495
"Documentary",2015.0,"","That Sugar Film","Damon Gameau",496,"90 minutes",496
"Adventure, Animation, Comedy, Family",2015.0,"Justin Fletcher,John B. Sparkes,Omid Djalili,Richard Webber,Kate Harbour,Tim Hands,Simon Greenall","Shaun the Sheep Movie","Mark Burton,Richard Starzack",497,"85 minutes",108
"Action",2015.0,"Shawn Yue,Louis Koo,Tong Liya,Joseph Chang,Jack Kao Kuo-Hsin,Simon Yam,Sam Lee,Philip Ng,Dave Wong","Wild City","Ringo Lam",498,"120 minutes",498
"Action, Adventure, Science Fiction",2015.0,"Miles Teller,Kate Mara,Jamie Bell,Michael B. Jordan,Toby Kebbell,Tim Blake Nelson,Reg E. Cathey","Fantastic Four","Josh Trank",499,"100 minutes",112
"Documentary",2015.0,"","Homme Less","Thomas Wirthensohn",500,"87 minutes",500
"Documentary",2015.0,"","Counting","Jem Cohen",501,"111 minutes",501
"Drama",2015.0,"Jason Segel,Jesse Eisenberg,Anna Chlumsky,Mamie Gummer,Joan Cusack,Ron Livingston,Mickey Sumner","The End of the Tour","James Ponsoldt",502,"106 minutes",502
"Adventure, Drama, Family",2015.0,"Kyle Catlett,Helena Bonham-Carter,Judy Davis,Callum Keith Rennie,Niamh Wilson,Jakob Davies,Rick Mercer,Robert Maillet,Julian Richings,Dominique Pinon","The Young and Prodigious T.S. Spivet","Jean-Pierre Jeunet",503,"105 minutes",113
"Drama",2015.0,"Nicolas Cage,Sarah Paulson,Connie Nielsen,Peter Fonda,Bryan Batt,Wendell Pierce,Fredric Lehne","The Runner","Austin Stark",504,"90 minutes",504
"Animation",2015.0,"Quvenzhané Wallis,Salma Hayek,Liam Neeson,John Krasinski,Frank Langella,Alfred Molina,John Rhys-Davies","Kahlil Gibran's The Prophet","Roger Allers,Nina Paley,Bill Plympton,Mohammed Saeed Harib,Gaëtan Brizzi,Paul Brizzi,Joan Gratz,Tomm Moore,Joann Sfar,Michal Socha",505,"84 minutes",505
"Drama",2015.0,"Tito Furtado,Vitalina Varela,Ventura","Horse Money","Pedro Costa",506,"103 minutes",506
"Thriller",2015.0,"Kevin Bacon,James Freedson-Jackson,Hays Wellford,Shea Whigham,Camryn Manheim","Cop Car","Jon Watts",507,"86 minutes",507
"Drama, Horror",2015.0,"Jason Bateman,Rebecca Hall,Joel Edgerton,David Denman,Beau Knapp,Allison Tolman,P. J. Byrne,Busy Philipps,Wendell Pierce,Katie Aselton","The Gift","Joel Edgerton",508,"108 minutes",508
"Documentary",2015.0,"Barry Crimmins","Call Me Lucky","Bobcat Goldthwait",509,"106 minutes",509
"Drama, Mystery, Thriller",2015.0,"Charlize Theron,Chloë Grace Moretz,Nicholas Hoult,Christina Hendricks,Andrea Roth,Corey Stoll,Tye Sheridan,Sterling Jerins,Shannon Kook-Chun,Drea de Matteo","Dark Places","Gilles Paquet-Brenner",510,"113 minutes",510
"Drama",2015.0,"Bel Powley,Kristen Wiig,Alexander Skarsgård,Christopher Meloni,Margarita Levieva,Quinn Nagle,Abby Wait,Austin Lyon,Miranda Bailey","The Diary of a Teenage Girl","Marielle Heller",511,"102 minutes",511
"Comedy, Drama, Music",2015.0,"Meryl Streep,Mamie Gummer,Kevin Kline,Rick Springfield,Ben Platt,Sebastian Stan,Audra McDonald,Charlotte Rae,Nick Westrate","Ricki and the Flash","Jonathan Demme",512,"102 minutes",512
"Action, Adventure, Science Fiction, Thriller",2015.0,"Arnold Schwarzenegger,Emilia Clarke,Jason Clarke,Jai Courtney,J.K. Simmons,Dayo Okeniyi,Lee Byung-Hun","Terminator Genisys","Alan Taylor",513,"125 minutes",513
"Drama",2015.0,"Stephen Baldwin,Kevin Downes,David A.R. White","Faith of Our Fathers","Carey Scott",514,"96 minutes",514
"Drama",2015.0,"Katherine Heigl,Ben Barnes,Clea Duvall,Sheryl Lee,Emily Alyn Lind,Nathan Stevens,Allan Groves","Jackie & Ryan","Ami Canaan Mann",515,"90 minutes",515
"Comedy, Horror, Romance",2015.0,"Clifton Collins Jr.,Lance Henriksen,Matt O'Leary,Jessica Cook,David Masterson","Stung","Benni Diez",516,"90 minutes",516
"Action, Documentary, Drama",2015.0,"","Cartel Land","Matthew Heineman",517,"98 minutes",517
"Drama, History",2015.0,"Barry Ward,Simone Kirby,Jim Norton,Andrew Scott,Brían F. O'Byrne,Francis Magee,Karl Geary","Jimmy's Hall","Ken Loach",518,"109 minutes",518
"Comedy, Drama, Romance",2015.0,"Beau Garrett,Aimee Mullins,Maggie Geha,Mario Cantone,Micah A. Hauptman,Micah A. Hauptman","In Stereo","Mel Rodriguez III",519,"97 minutes",519
"Documentary, Music",2015.0,"Amy Winehouse","Amy","Asif Kapadia",520,"128 minutes",520
"Documentary, War",2015.0,"Ronnie Hall","Stray Dog","Debra Granik",521,"98 minutes",521
"Adventure, Animation, Comedy, Family",2015.0,"Pierre Coffin,Sandra Bullock,Jon Hamm,Katy Mixon,Hiroyuki Sanada,Jennifer Saunders,Michael Keaton,Allison Janney,Steve Coogan,Geoffrey Rush,Steve Carell,Michael Beattie,Dave Rosenbaum","Minions","Kyle Balda,Pierre Coffin",522,"91 minutes",522
"Drama, Thriller",2015.0,"Leon Cain,Steve Mazoukis","The Suicide Theory","Dru Brown",523,"98 minutes",523
"Drama",2015.0,"Reed Birney,Jamie Harrold,Ashley Blankenship,Kelsey Lynn Stokes","Mad Women","Jeff Lipsky",524,"131 minutes",524
"Documentary",2015.0,"","Nowitzki: The Perfect Shot","Sebastian Dehnhardt",525,"105 minutes",525
"Drama",2015.0,"Lea van Acken,Franziska Weisz,Florian Stetter,Lucie Aron,Moritz Knapp","Stations of the Cross","Dietrich Brüggemann",526,"110 minutes",526
"Documentary",2015.0,"","Do I Sound Gay?","David Thorpe",527,"77 minutes",527
"Drama",2015.0,"Robin Williams,Bob Odenkirk,Kathy Baker,Giles Matthey,Clay Jeffries,J. Karen Thomas,Roberto Aguire","Boulevard","Dito Montiel",528,"88 minutes",528
"Comedy, Drama, Romance",2015.0,"Natalia Tena,David Verdaguer","10,000 KM","Carlos Marques-Marcet",529,"99 minutes",529
"Comedy",2015.0,"David Tennant,Rosamund Pike,Billy Connolly,Bobby Smalldridge,Emilia Jones,Ben Miller,Celia Imrie","What We Did on Our Holiday","Andy Hamilton,Guy Jenkin",530,"95 minutes",530
"Science Fiction, Thriller",2015.0,"Ben Kingsley,Ryan Reynolds,Natalie Martinez,Matthew Goode,Michelle Dockery,Melora Hardin,Victor Garber,Derek Luke","Self/less","Tarsem Singh",531,"116 minutes",531
"Drama, Thriller",2015.0,"Nicole Kidman,Joseph Fiennes,Hugo Weaving,Lisa Flanagan,Megan Alston,Maddison Brown","Strangerland","Kim Farrant",532,"112 minutes",532
"Horror",2015.0,"Reese Mishler,Pfeifer Brown,Ryan Shoos,Cassidy Gifford,Travis Cluff,Price T. Morgan,Mackie Burt,Melissa Bratton,Theo Burkhardt,David Herrera","The Gallows","Travis Cluff,Chris Lofing",533,"87 minutes",533
"Comedy, Drama",2015.0,"Kitana Kiki Rodriguez,Mya Taylor,Karren Karagulian,John Gulager,Mickey O'Hagen,James Ransone,Alla Tumanian","Tangerine","Sean Baker",534,"88 minutes",534
"",2015.0,"Usha Bane,Vivek Gomber,Pradeep Joshi,Geetanjali Kulkarni,Shirish Pawar,Vira Sathidar","Court","Chaitanya Tamhane",535,"116 minutes",535
"Drama, Thriller",2015.0,"Ethan Hawke,January Jones,Zoë Kravitz,Jake Abel,Bruce Greenwood","Good Kill","Andrew Niccol",536,"104 minutes",536
"Comedy, Drama",2014.0,"Kristen Wiig,James Marsden,Linda Cardellini,Wes Bentley,Jennifer Jason Leigh,Alan Tudyk,Tim Robbins,Joan Cusack,Thomas Mann","Welcome to Me","Shira Piven",537,"105 minutes",537
"Drama",2015.0,"Carey Mulligan,Juno Temple,Michael Sheen,Tom Sturridge,Matthias Schoenaerts,Hilton McRae","Far from the Madding Crowd","Thomas Vinterberg",538,"119 minutes",538
"",2015.0,"Helen Hunt,Brenton Thwaites,Luke Wilson,David Zayas,Callum Keith Rennie","Ride","Helen Hunt",539,"93 minutes",539
"Comedy",2015.0,"Antonio Albanese,Livia Rossi,Gabriele Rendina,Sandra Ceccarelli,Alfonso Santagata","Intrepido: A Lonely Hero","Gianni Amelio",540,"104 minutes",540
"Drama, Music",2015.0,"Josh Duhamel,Maria Bello,Laura Dern,Katrina Norman,Lucas Till,Tom Everett Scott","Bravetown","Daniel Duran",541,"112 minutes",541
"Action, Comedy",2015.0,"Reese Witherspoon,Sofía Vergara,Michael Mosley,John Carroll Lynch,Richard T. Jones","Hot Pursuit","Anne Fletcher",542,"87 minutes",542
"Action, Crime, Thriller",2015.0,"Ron Perlman,Tony Jaa,Dolph Lundgren,Celina Jade,Michael Jai White,Peter Weller","Skin Trade","Ekachai Uekrongtham",543,"96 minutes",54
"Adventure, Comedy, Romance",2015.0,"Bradley Cooper,Emma Stone,Rachel McAdams,John Krasinski,Danny McBride,Sugar Lyn Beard,Edi Gathegi,Bill Murray,Alec Baldwin","Aloha","Cameron Crowe",544,"105 minutes",544
"Action, Drama, Thriller",2015.0,"Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi,Paul Giamatti,Kylie Minogue,Will Yun Lee","San Andreas","Brad Peyton",545,"114 minutes",545
"Comedy, Drama, Romance",2015.0,"Gemma Arterton,Jason Flemyng,Fabrice Luchini,Elsa Zylberstein","Gemma Bovery","Anne Fontaine",546,"99 minutes",546
"Comedy, Drama",2015.0,"Julianne Côté,Catherine St-Laurent,Marc-André Grondin,Francis La Haye,Simon Larouche","Tu dors Nicole","Stéphane LaFleur",547,"93 minutes",547
"Comedy",2015.0,"Adrian Grenier,Jerry Ferrara,Kevin Connolly,Kevin Dillon,Jeremy Piven,Billy Bob Thornton,Haley Joel Osment,Perrey Reeves,Emmanuelle Chriqui,Rhys Coiro,Constance Zimmer,Nora Dunn","Entourage","Doug Ellin",548,"104 minutes",548
"Comedy, Documentary",2015.0,"","Misery Loves Comedy","Kevin Pollak",549,"94 minutes",549
"Drama",2015.0,"Scott Eastwood,Rita Wilson,Jeff Fahey,David James Elliott","Dawn Patrol","Daniel Petrie Jr",550,"86 minutes",550
"Action, Crime, Drama, Thriller",2015.0,"Jackie Chan,Liu Ye,Jing Tian","Police Story: Lockdown","Ding Sheng",551,"110 minutes",117
"Comedy, Drama",2015.0,"Holger Andersson,Nisse Vestblom,Viktor Gyllenberg,Lotti Törnros,Jonas Gerholm,Ola Stensson,Oscar Salomonsson,Roger Olsen Likvern,Charlotta Larsson","A Pigeon Sat on a Branch Reflecting on Existence","Roy Andersson",552,"100 minutes",552
"Drama, War",2015.0,"Russell Crowe,Olga Kurylenko,Jai Courtney,Isabel Lucas","The Water Diviner","Russell Crowe",553,"111 minutes",553
"Drama, Thriller",2015.0,"Zabou Breitman,Pascal Elbé,Jacques Gamblin,Sylvie Testud,Éric Caravaca","24 Days","Alexandre Arcady",554,"110 minutes",554
"Crime, Drama, Thriller",2015.0,"John Travolta,Christopher Plummer,Tye Sheridan,Jennifer Ehle,Abigail Spencer","The Forger","Philip Martin",555,"92 minutes",555
"Comedy",2015.0,"Nick Kroll,Rose Byrne,Bobby Cannavale,Joel McHale,Caitlin Fitzgerald,Bobby Moynihan,Josh Charles,Jane Krakowski,Paula Garcés,Jason Mantzoukas","Adult Beginners","Ross Katz",556,"90 minutes",556
"Comedy, Drama, War",2015.0,"Emily Watson,David Henrie,Kevin James,Michael Rapaport,Ted Levine,Tom Wilkinson,Cary Hiroyuki-Tagawa,Abraham Benrubi,Ben Chaplin,Ali Landry,Toby Huss,Kelly Greyson","Little Boy","Alejandro Gomez Monteverde",557,"100 minutes",557
"Drama, Romance",2015.0,"Blake Lively,Michiel Huisman,Ellen Burstyn,Harrison Ford,Amanda Crew,Richard Harmon","The Age of Adaline","Lee Toland Krieger",558,"110 minutes",558
"Action, Adventure, Science Fiction",2015.0,"Robert Downey Jr.,Chris Evans,Chris Hemsworth,Mark Ruffalo,Scarlett Johansson,Jeremy Renner,James Spader,Elizabeth Olsen,Aaron Taylor-Johnson,Paul Bettany,Samuel L. Jackson,Cobie Smulders,Don Cheadle,Anthony Mackie,Stellan Skarsgård,Thomas Kretschmann,Andy Serkis,Linda Cardellini,Hayley Atwell,Idris Elba,Josh Brolin,Julie Delpy","Avengers: Age of Ultron","Joss Whedon",559,"141 minutes",559
"Drama",2015.0,"Michael Gambon,Julia McKenzie,Keeley Hawes,Rufus Jones,Rory Kinnear,Emily Bevan,Simon McBurney,Monica Dolan,Lolita Chakrabarti,Silas Carson,Richard Glover","The Casual Vacancy","Jonny Campbell",560,"180 minutes",560
"Documentary",2015.0,"","Iris","Albert Maysles",561,"83 minutes",561
"",2015.0,"Alain Chabat,Jonathan Lambert,Élodie Bouchez,Kyla Kenedy,Eric Wareheim,John Glover,Jon Heder","Reality","Quentin Dupieux",562,"95 minutes",120
"Comedy, Romance",2015.0,"Pier-Gabriel Lajoie,Walter Borden,Katie Boland,Marie-Hélène Thibault,Nastassia Markiewicz,Yardly Kavanagh,Jean-Alexandre Létourneau,Brian D. Wright","Gerontophilia","Bruce LaBruce",563,"90 minutes",563
"Drama, Romance, Thriller",2015.0,"Sean Bean,Kate Walsh,Eva Longoria,Tom Arnold,Shane Black,Paul Ben-Victor,Willa Ford,Leonard Roberts","Any Day","Rustam Branaman",564,"100 minutes",564
"Comedy, Drama",2015.0,"Tatiana Maslany,Richard Dreyfuss","Cas & Dylan","Jason Priestley",565,"90 minutes",565
"Crime, Drama",2015.0,"Peter Ferdinando,Stephen Graham,Neil Maskell,Elisa Lasowski,MyAnna Buring,Richard Dormer,Tony Pitts","Hyena","Gerard Johnson",566,"112 minutes",566
"Drama",2015.0,"Viggo Mortensen,Reda Kateb","Far from Men","David Oelhoffen",567,"101 minutes",567
"Documentary",2015.0,"","Kurt Cobain: Montage of Heck","Brett Morgen",568,"132 minutes",568
"Adventure, Science Fiction",2015.0,"Britt Robertson,George Clooney,Thomas Robinson,Hugh Laurie,Raffey Cassidy,Kathryn Hahn","Tomorrowland","Brad Bird",569,"130 minutes",121
"Comedy, Drama",2015.0,"Tenoch Huerta,Leonardo Ortizgris,Sophie Alexander-Katz","Güeros","Alonso Ruiz Palacios",570,"106 minutes",570
"Drama",2015.0,"Ze'ev Revach,Levana Finkelstein,Alisa Rozen,Ilan Dar,Rafael Tabor","The Farewell Party","Tal Granit,Sharon Maymon",571,"90 minutes",571
"Horror",2015.0,"Laurence R. Harvey,Eric Roberts,Bree Olson,Dieter Laser","The Human Centipede 3","Tom Six",572,"103 minutes",122
"Horror, Thriller",2015.0,"Sam Rockwell,Jared Harris,Rosemarie DeWitt,Nicholas Braun,Saxon Sharbino,Kennedi Clements,Jane Adams","Poltergeist","Gil Kenan",573,"93 minutes",123
"Animation, Drama",2015.0,"Kasumi Arimura,Sara Takatsuki,Nanako Matsushima,Susumu Terajima,Toshie Negishi,Ryôko Moriyama,Hitomi Kuroki,Hana Sugisaki","When Marnie Was There","Hiromasa Yonebayashi",574,"103 minutes",110
"Comedy, Romance",2015.0,"Adèle Haenel,Kevin Azais,Antoine Laurent,Brigitte Roüan,William Lebghil,Thibaut Berducat,Nicolas Wanczycki,Frédéric Pellegeay,Steve Tientcheu","Love at First Fight","Thomas Cailley",575,"98 minutes",575
"Documentary",2015.0,"","Sunshine Superman","Marah Strauch",576,"100 minutes",576
"Documentary",2015.0,"Keanu Reeves","Deep Web","Alex Winter",577,"90 minutes",577
"Drama",2015.0,"Victor Banerjee,Adil Hussain","Unfreedom","Raj Amit Kumar",578,"102 minutes",578
"",2015.0,"William Dickerson,Andy Foltz,Liliane Gillenwater","Sunset Edge","Daniel Peddle",579,"87 minutes",124
"Comedy, Drama",2015.0,"David Dahlbom,Adinah Dancyger,Casey Drogin,Hannah Gross,Tallie Medel,Caitlin Mehner,Gina Piersanti","Uncertain Terms","Nathan Silver",580,"75 minutes",580
"Drama",2015.0,"Natalia Dyer,Peter Vack,Julia Garner,Amy Seimetz,Toni Meyerhoff","I Believe in Unicorns","Leah Meyerhoff",581,"80 minutes",125
"Action, Thriller",2015.0,"Milla Jovovich,Pierce Brosnan,Dylan McDermott,Angela Bassett,Robert Forster,James D'Arcy,Roger Rees,Genevieve O'Reilly,Frances de la Tour,Sonya Cassidy","Survivor","James McTeigue",582,"96 minutes",18
"Drama",2015.0,"Arielle Holmes,Caleb Landry Jones,Eléonore Hendricks,Yuri Pleskun","Heaven Knows What","Ben Safdie,Joshua Safdie",583,"94 minutes",583
"",2015.0,"Cobie Smulders,Guy Pearce,Kevin Corrigan,Giovanni Ribisi,Brooklyn Decker,Anthony Michael Hall,Tishuan Scott","Results","Andrew Bujalski",584,"105 minutes",584
"Drama",2015.0,"Cuba Gooding Jr.,William Sadler,Sharon Leal,David Rasche,Diane Salinger","Freedom","Peter Cousens",585,"98 minutes",127
"Drama",2015.0,"Ellen Dorrit Petersen,Vera Vitali,Henrik Rafaelsen,Marius Kolbenstvedt","Blind","Eskil Vogt",586,"96 minutes",586
"Drama, Music",2015.0,"Paul Dano,John Cusack,Paul Giamatti,Elizabeth Banks,Kenny Wormald,Jake Abel,Erin Darke,Joanna Going,Brett Davern","Love & Mercy","Bill Pohlad",587,"120 minutes",587
"Drama, History, War",2015.0,"Alicia Vikander,Kit Harington,Hayley Atwell,Dominic West,Emily Watson,Colin Morgan,Anna Chancellor,Miranda Richardson,Taron Egerton","Testament of Youth","James Kent",588,"129 minutes",588
"Drama",2015.0,"Adam Driver,Alba Rohrwacher,Jake Weber,Natalie Gold,Victor Williams,David Aaron Baker","Hungry Hearts","Saverio Costanzo",589,"109 minutes",589
"Drama",2015.0,"Robert Duvall,James Franco,Josh Hartnett,Luciana Duvall,Adriana Barraza,Jim Parrack","Wild Horses","Robert Duvall",590,"100 minutes",590
"Horror",2015.0,"Dermot Mulroney,Stefanie Scott,Lin Shaye,Leigh Whannell,Angus Sampson,Tate Berney","Insidious Chapter 3","Leigh Whannell",591,"97 minutes",129
"Documentary",2015.0,"","The Nightmare","Rodney Ascher",592,"",130
"Action, Comedy",2015.0,"Melissa McCarthy,Jude Law,Jason Statham,Rose Byrne,Miranda Hart,Allison Janney,Bobby Cannavale,50 Cent,Morena Baccarin,Will Yun Lee","Spy","Paul Feig",593,"120 minutes",593
"Action, Adventure, Science Fiction, Thriller",2015.0,"Chris Pratt,Bryce Dallas Howard,Jake M. Johnson,Judy Greer,Vincent D'Onofrio,Nick Robinson,Lauren Lapkus,Omar Sy,B.D. Wong,Irrfan Khan","Jurassic World","Colin Trevorrow",594,"124 minutes",594
"Drama, Horror, Mystery, Thriller",2015.0,"Lorenza Izzo,Ariel Levy,Aaron Burns,Cristobal Tapia Montt,Luis Gnecco,Sally Rose","The Stranger","Guillermo Amoedo",595,"93 minutes",595
"Crime, Documentary, Drama",2015.0,"Kurt Cobain,Daniel Roebuck,Sarah Scott,August Emerson,Kurt Loder","Soaked in Bleach","Benjamin Statler",596,"100 minutes",596
"Action, Crime",2015.0,"Noah Segan,Marko Zaror,Loreto Aravena","Redeemer","Ernesto Díaz Espinoza",597,"88 minutes",131
"Drama",2015.0,"Elijah Wood,Celyn Jones,Kelly Reilly,Steven MacKintosh,Shirley Henderson,Kevin Eldon","Set Fire to the Stars","Andy Goddard",598,"97 minutes",598
"Comedy, Documentary",2015.0,"Tom Broecker,Tina Fey,Amy Poehler,Alec Baldwin,John Goodman,Horatio Sanz,Rachel Dratch,Cheri Oteri,Lorne Michaels","Live From New York!","Bao Nguyen",599,"90 minutes",599
"Documentary",2015.0,"Andy Bichlbaum,Mike Bonanno","The Yes Men Are Revolting","Laura Nix,The Yes Men",600,"91 minutes",600
"Thriller",2015.0,"Kim Basinger,Jordan Prentice,Sebastian Schipper,Peter Stormare","The 11th Hour","Anders Morgenthaler",601,"97 minutes",601
"Documentary, Drama",2015.0,"Bhagavan Angulo,Govinda Angulo,Jagadisa Angulo,Narayana Angulo,Krsna Angulo,Mukunda Angulo","The Wolfpack","Crystal Moselle",602,"80 minutes",602
"Drama",2015.0,"Mia Wasikowska,Ezra Miller,Laura Carmichael,Henry Lloyd-Hughes,Paul Giamatti,Rhys Ifans,Logan Marshall-Green","Madame Bovary","Sophie Barthes",603,"118 minutes",603
"Comedy, Drama, Romance",2015.0,"Thomas Mann,RJ Cyler,Olivia Cooke,Connie Britton,Nick Offerman,Molly Shannon","Me and Earl and the Dying Girl","Alfonso Gomez-Rejon",604,"105 minutes",604
"Drama, History","","Leonid Bichevin,Anatoliy Belyy,Kristina Schneidermann,Semyon Shkalikov","Chagall-Malevich","Aleksandr Mitta",605,"119 minutes",605
"Crime, Drama",2015.0,"Grigoriy Fesenko,Yana Novikova,Rosa Babiy,Alexander Dsiadevich,Yaroslav Biletskiy,Ivan Tishko,Alexander Osadchiy,Alexander Sidelnikov,Alexander Panivan","The Tribe","Miroslav Slaboshpitsky",606,"130 minutes",135
"Animation, Comedy, Family",2015.0,"Amy Poehler,Mindy Kaling,Bill Hader,Phyllis Smith,Lewis Black,Kaitlyn Dias,Paris Van Dyke,Kyle MacLachlan","Inside Out","Pete Docter",607,"102 minutes",136
"Animation, Documentary",2015.0,"","The Wanted 18","Amer Shomali,Paul Cowan",608,"75 minutes",608
"Drama",2015.0,"Deirdre O'Kane,Sarah Greene,Gloria Cramer Curtis,Brendan Coyle,Mark Huberman,Ruth Negga","Noble","Stephen Bradley",609,"100 minutes",609
"Drama",2015.0,"Moriah Blonna,Tom Dunne,Maria McKee","The Ocean of Helena Lee","Jim Akin",610,"88 minutes",610
"Drama",2015.0,"Gaspard Ulliel,Jérémie Renier,Léa Seydoux,Louis Garrel,Amira Casar","Saint Laurent","Bertrand Bonello",611,"150 minutes",611
"Comedy, Romance",2015.0,"Chris Evans,Michelle Monaghan,Aubrey Plaza,Ioan Gruffudd,Martin Starr,Ashley Tisdale","Playing It Cool","Justin Reardon",612,"94 minutes",612
"Drama",2015.0,"Morgan Freeman,Carrie Preston,Diane Keaton,Cynthia Nixon,Alysia Reiner,Josh Pais","5 Flights Up","Richard Loncraine",613,"92 minutes",128
"Documentary",2015.0,"Caroll Spinney","I Am Big Bird: The Caroll Spinney Story","Dave LaMattina,Chad N. Walker",614,"90 minutes",137
"Drama, Horror, Thriller",2015.0,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Laura Cayouette,J.D. Evermore","Maggie","Henry Hobson",615,"95 minutes",615
"Comedy",2015.0,"James Marsden,Jack Black,Kathryn Hahn,Jeffrey Tambor,Mike White,Kyle Bornheimer","The D Train","Andrew Mogel,Jarrad Paul",616,"97 minutes",616
"Documentary",2015.0,"","The Seven Five","Tiller Russell",617,"102 minutes",69
"Adventure, Comedy, Drama",2015.0,"Robert Gustafsson,Iwar Wiklander,David Wiberg,Mia Skäringer,Jens Hultén,Sven Lönn","The 100-Year-Old Man Who Climbed Out the Window and Disappeared","Felix Herngren",618,"114 minutes",618
"Documentary",2015.0,"H.R. Giger","Dark Star: HR Giger’s World","Belinda Sallin",619,"96 minutes",619
"Comedy, Drama, Foreign",2015.0,"Rafael Spregelburd,Dolores Fonzi,Blanca Lewin,Ignacio Rogers","The Film Critic","Hernán Guerschuny",620,"90 minutes",620
"Crime, Drama",2015.0,"Diane Lane,Elizabeth Banks,Dakota Fanning,Danielle Macdonald,Nate Parker,Common","Every Secret Thing","Amy Berg",621,"93 minutes",621
"Drama, Music, TV movie",2015.0,"Queen Latifah,Mo'Nique,Mike Epps,Tika Sumpter,Michael Kenneth Williams,Charles S. Dutton","Bessie","Dee Rees",622,"112 minutes",622
"Drama",2015.0,"Catherine Deneuve,Guillaume Canet,Adele Haenel","In the Name of My Daughter","André Téchiné",623,"116 minutes",623
"Drama, Thriller, Western",2015.0,"James Badge Dale,Ethan Embry,William Forsythe,Maika Monroe,Rhys Wakefield","Echoes Of War","Kane Senes",624,"100 minutes",624
"Action, Thriller, Western",2015.0,"Michael Fassbender,Ben Mendelsohn,Kodi Smit-McPhee,Caren Pistorius,Rory McCann","Slow West","John Maclean",625,"84 minutes",17
"Drama",2015.0,"David Dastmalchian,Kim Shaw,John Heard,John Hoogenakker,Shon McGregory,Ilyssa Fradin","Animals","Collin Schiffli",626,"90 minutes",138
"Action, Crime, Thriller",2015.0,"Jean Dujardin,Gilles Lellouche,Céline Sallette,Mélanie Doutey,Benoît Magimel,Guillaume Gouix","The Connection","Cédric Jimenez",627,"135 minutes",627
"Action, Adventure, Thriller",2015.0,"Tom Hardy,Charlize Theron,Rosie Huntington-Whiteley,Nicholas Hoult,Zoë Kravitz,Riley Keough,Nathan Jones","Mad Max: Fury Road","George Miller",628,"120 minutes",628
"Horror, Science Fiction, Thriller",2015.0,"Reid Warner,Ben Rovner,Darrin Bragg","Area 51","Oren Peli",629,"86 minutes",139
"Comedy, Music",2015.0,"Anna Kendrick,Rebel Wilson,Brittany Snow,Hailee Steinfeld,Hana Mae Lee,Shelley Regner","Pitch Perfect 2","Elizabeth Banks",630,"115 minutes",630
"Comedy, Drama",2015.0,"Blythe Danner,June Squibb,Rhea Perlman,Mary Kay Place,Martin Starr,Sam Elliott,Malin Akerman","I'll See You in My Dreams","Brett Haley",631,"92 minutes",631
"Comedy",2015.0,"Kevin James,Raini Rodriguez,Eduardo Verástegui,Daniella Alonso,Neal McDonough,David Henrie,D. B. Woodside,Nicholas Turturro","Paul Blart: Mall Cop 2","Andy Fickman",632,"94 minutes",632
"Animation, Documentary",2015.0,"","The Mind of Mark DeFriest","Gabriel London",633,"92 minutes",42
"Comedy, Drama",2015.0,"Dev Patel,Richard Gere,Maggie Smith,Bill Nighy,Judi Dench","The Second Best Exotic Marigold Hotel","John Madden",634,"122 minutes",140
"Drama, Romance, Thriller",2015.0,"Patricia Clarkson,Scott Speedman,Tim Roth,Callum Keith Rennie","October Gale","Ruba Nadda",635,"91 minutes",113
